id,farmer_id,crop_class,crop_variety,bbk_payment_method,base_price,grade_a_price,grade_b_price,grade_c_price, total_weight ,grade_a_weight,grade_b_weight,grade_c_weight, total_net_weight , net_owed_to_farmer ,grade_a_cash_value,grade_b_cash_value,grade_c_cash_value,bbk_created_at
5111,2538,Soy Bean,Emerald,Paycode,13,17,15,14,300,300,0,0,200,1100,3400,0,0,20/05/2025
4818,2554,Soy Bean,Kafue,Paycode,13,17,15,14,871,871,0,0,471,5807,8007,0,0,19/05/2025
15892,2562,Soy Bean,Kafue,Paycode,12,15,14,12,331,0,331,0,206,2234,0,2884,0,23/06/2025
6139,2606,Soy Bean,Kafue,Paycode,13,17,15,14,631,631,0,0,491,7447,8347,0,0,23/05/2025
16732,2629,Cowpea,Lutembwe,Paycode,10,13,12,10,190,190,0,0,190,2470,2470,0,0,25/06/2025
15841,2629,Soy Bean,Kafue,Paycode,12,15,14,12,1529,1529,0,0,1229,19205,18435,0,0,23/06/2025
22889,2658,Navy Bean,Lwangeni,Paycode,21,23,21,21, 218.00 ,218,0,0,168," 3,864.00 ",3864,0,0,13/07/2025
17559,2672,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 50.00 ,50,0,0,0, -   ,0,0,0,26/06/2025
19584,2696,Navy Bean,Lwangeni,Paycode,21,23,21,21, 469.00 ,469,0,0,319," 4,637.00 ",7337,0,0,02/07/2025
21090,2709,Navy Bean,Lwangeni,Paycode,21,23,21,21, 250.00 ,250,0,0,150," 3,149.00 ",3450,0,0,07/07/2025
22901,2717,Navy Bean,Lwangeni,Paycode,21,23,21,21, 250.00 ,250,0,0,200," 4,600.00 ",4600,0,0,14/07/2025
18198,2729,Navy Bean,Lwangeni,Paycode,21,23,21,21, 650.00 ,650,0,0,550," 12,650.00 ",12650,0,0,27/06/2025
21088,2743,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 300.00 ,300,0,0,300," 7,500.00 ",7500,0,0,07/07/2025
21087,2743,Navy Bean,Lwangeni,Paycode,21,23,21,21, 150.00 ,150,0,0,50, 850.00 ,1150,0,0,07/07/2025
5709,2837,Soy Bean,Kafue,Paycode,13,17,15,14,184,184,0,0,74,-142,1258,0,0,22/05/2025
14873,2895,Soy Bean,Kafue,Paycode,12,15,14,12,742,550,100,92,617,9135,6375,1400,1104,19/06/2025
14872,2895,Cowpea,Lutembwe,Paycode,10,13,12,10,128,50,78,0,63,756,0,756,0,19/06/2025
18994,2919,Cowpea,Bubebe,Paycode,10,13,12,10,178,178,0,0,113,5354,1469,0,0,30/06/2025
21787,2985,Navy Bean,Lwangeni,Paycode,21,23,21,21, 400.00 ,350,50,0,400," 9,100.00 ",8050,1050,0,09/07/2025
15938,3012,Soy Bean,Kafue,Paycode,12,15,14,12,100,100,0,0,100,900,1500,0,0,23/06/2025
9947,3016,Cowpea,Lutembwe,Paycode,10,13,12,10,258,258,0,0,193,2159,2509,0,0,05/06/2025
8096,3020,Soy Bean,Kafue,Paycode,13,17,15,14,865,100,765,0,745,10325,0,11175,0,30/05/2025
14231,3034,Soy Bean,Emerald,Paycode,12,15,14,12,1354,810,544,0,1254,15564,10650,7616,0,17/06/2025
6963,3071,Soy Bean,Kafue,MTN Money,12,12,12,12,412,412,0,0,12,150,150,0,0,26/05/2025
6819,3080,Cowpea,Lutembwe,Paycode,10,13,12,10,232,0,232,0,167,6878,0,2004,0,26/05/2025
6807,3080,Soy Bean,Kafue,Paycode,13,17,15,14,472,472,0,0,372,5374,6324,0,0,26/05/2025
4108,3084,Soy Bean,Kafue,Paycode,13,17,15,14,1350,1050,300,0,1210,13170,15470,4500,0,16/05/2025
12410,3151,Soy Bean,Kafue,Paycode,12,15,14,12,1500,250,500,750,1150,15800,0,5600,9000,12/06/2025
14303,2513,Soy Bean,Kafue,Paycode,12,15,14,12,344,344,0,0,244,3660,3660,0,0,17/06/2025
13728,2542,Soy Bean,Kafue,Paycode,12,15,14,12,750,700,50,0,750,10550,10500,700,0,16/06/2025
10048,2542,Soy Bean,Kafue,Paycode,13,17,15,14,421,421,0,0,311,4937,5287,0,0,05/06/2025
3012,2585,Soy Bean,Kafue,Paycode,13,17,15,14,100,100,0,0,0,0,0,0,0,12/05/2025
6141,2606,Cowpea,Lutembwe,Paycode,10,13,12,10,140,0,140,0,75,10461,0,900,0,23/05/2025
6140,2606,Soy Bean,Emerald,Paycode,13,17,15,14,392,392,0,0,192,9561,3264,0,0,23/05/2025
15840,2629,Soy Bean,Emerald,Paycode,12,15,14,12,928,928,0,0,728,3870,10920,0,0,23/06/2025
15923,2641,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 126.00 ,126,0,0,76," 1,900.00 ",1900,0,0,23/06/2025
19218,2645,Soy Bean,Kafue,Paycode,12,15,14,12,2000,2000,0,0,1800,27000,27000,0,0,01/07/2025
17560,2672,Navy Bean,Lwangeni,Paycode,21,23,21,21, 200.00 ,200,0,0,200," 2,625.00 ",4600,0,0,26/06/2025
19848,2684,Navy Bean,Lwangeni,Paycode,21,23,21,21, 300.00 ,300,0,0,300," 4,925.00 ",6900,0,0,02/07/2025
22906,2688,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 200.00 ,200,0,0,150," 6,820.00 ",3750,0,0,14/07/2025
22905,2688,Navy Bean,Lwangeni,Paycode,21,23,21,21, 290.00 ,290,0,0,240," 5,520.00 ",5520,0,0,14/07/2025
17612,2700,Navy Bean,Lwangeni,Paycode,21,23,21,21, 50.00 ,50,0,0,0, -   ,0,0,0,26/06/2025
14063,2734,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 619.00 ,619,0,0,469," 20,988.00 ",11725,0,0,17/06/2025
14062,2734,Navy Bean,Lwangeni,Paycode,21,23,21,21, 631.00 ,631,0,0,531," 11,213.00 ",12213,0,0,17/06/2025
17069,2767,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 100.00 ,100,0,0,50, 980.00 ,1250,0,0,25/06/2025
14754,2797,Navy Bean,Lwangeni,Paycode,21,23,21,21, 436.00 ,436,0,0,361," 8,003.00 ",8303,0,0,18/06/2025
19915,2801,Navy Bean,Lwangeni,Paycode,21,23,21,21, 550.00 ,550,0,0,500," 6,150.00 ",11500,0,0,03/07/2025
19914,2801,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 100.00 ,100,0,0,50,"-4,350.00 ",1250,0,0,03/07/2025
14078,2809,Soy Bean,Kafue,Paycode,12,15,14,12,738,738,0,0,508,1470,7620,0,0,17/06/2025
20071,2825,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 800.00 ,800,0,0,800," 20,000.00 ",20000,0,0,02/07/2025
20070,2825,Navy Bean,Lwangeni,Paycode,21,23,21,21," 1,750.00 ",1750,0,0,1700," 37,125.00 ",39100,0,0,02/07/2025
10124,2853,Soy Bean,Kafue,Paycode,13,17,15,14,4450,2850,1600,0,3950,63050,39950,24000,0,05/06/2025
3865,2861,Soy Bean,Kafue,Paycode,13,17,15,14,650,450,200,0,550,8950,5950,3000,0,15/05/2025
14948,2879,Navy Bean,Lwangeni,Paycode,21,23,21,21, 300.00 ,300,0,0,300," 6,900.00 ",6900,0,0,16/06/2025
18993,2919,Soy Bean,Kafue,Paycode,12,15,14,12,459,459,0,0,259,3885,3885,0,0,30/06/2025
14391,2944,Soy Bean,Kafue,Paycode,12,15,14,12,687,687,0,0,587,8005,8805,0,0,17/06/2025
16474,2981,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 700.00 ,700,0,0,700," 16,200.00 ",17500,0,0,21/06/2025
21786,2985,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 100.00 ,100,0,0,0, -   ,0,0,0,09/07/2025
7960,3012,Soy Bean,Emerald,Paycode,13,17,15,14,1085,1085,0,0,885,14826,15045,0,0,29/05/2025
7959,3012,Soy Bean,Kafue,Paycode,13,17,15,14,743,543,200,0,493,931,4981,3000,0,29/05/2025
13604,3016,Soy Bean,Kafue,Paycode,12,15,14,12,966,966,0,0,866,13399,12990,0,0,16/06/2025
15873,3038,Soy Bean,Kafue,Paycode,12,15,14,12,628,628,0,0,578,11240,8670,0,0,23/06/2025
15872,3038,Soy Bean,Emerald,Paycode,12,15,14,12,798,798,0,0,698,4320,10470,0,0,23/06/2025
11504,3120,Soy Bean,Kafue,Paycode,13,17,15,14,650,550,100,0,450,7450,5950,1500,0,10/06/2025
11505,3120,Soy Bean,Emerald,Paycode,13,17,15,14,324,324,0,0,224,10728,3808,0,0,10/06/2025
14875,3151,Cowpea,Lutembwe,Paycode,10,13,12,10,133,0,133,0,68,16616,0,816,0,19/06/2025
17157,3155,Cowpea,Lutembwe,Paycode,10,13,12,10,200,0,0,200,200,2000,0,0,2000,26/06/2025
13664,3175,Soy Bean,Kafue,Paycode,12,15,14,12,220,220,0,0,120,1800,1800,0,0,16/06/2025
7803,3224,Soy Bean,Kafue,Paycode,13,17,15,14,1035,835,200,0,810,13020,10370,3000,0,29/05/2025
15835,3245,Soy Bean,Kafue,Paycode,12,15,14,12,1200,1200,0,0,1100,15850,16500,0,0,23/06/2025
17329,3290,Soy Bean,Kafue,Paycode,12,15,14,12,1200,0,850,350,1100,14200,0,10500,4200,26/06/2025
1775,3294,Soy Bean,Emerald,Paycode,13,17,15,14,100,100,0,0,0,-1400,0,0,0,07/05/2025
1776,3294,Soy Bean,Kafue,Paycode,13,17,15,14,850,850,0,0,750,10850,12750,0,0,07/05/2025
15868,3322,Soy Bean,Kafue,Paycode,12,15,14,12,921,921,0,0,801,9965,12015,0,0,23/06/2025
8295,3326,Soy Bean,Kafue,Paycode,13,17,15,14,760,760,0,0,635,14718,10795,0,0,30/05/2025
12179,3330,Cowpea,Lutembwe,Paycode,10,13,12,10,200,0,0,200,135,25737,0,0,1350,12/06/2025
12177,3330,Soy Bean,Kafue,Paycode,13,17,15,14,978,978,0,0,828,14076,14076,0,0,12/06/2025
14552,3338,Soy Bean,Kafue,Paycode,12,15,14,12,1037,887,150,0,937,13255,11805,2100,0,18/06/2025
11538,3358,Cowpea,Bubebe,Paycode,10,13,12,10,131,0,131,0,66,14538,0,792,0,10/06/2025
2140,3382,Soy Bean,Kafue,Paycode,13,17,15,14,1300,1200,50,50,950,14500,14450,750,700,08/05/2025
2885,3459,Soy Bean,Kafue,Paycode,13,17,15,14,513,513,0,0,413,871,7021,0,0,12/05/2025
9030,3467,Cowpea,Lutembwe,Paycode,10,13,12,10,249,249,0,0,249,3237,3237,0,0,02/06/2025
8907,3467,Soy Bean,Kafue,Paycode,13,17,15,14,1257,1257,0,0,1157,12369,19669,0,0,02/06/2025
3148,3495,Soy Bean,Emerald,Airtel Money,12,12,12,12,100,0,0,100,0,0,0,0,0,12/05/2025
4965,3537,Soy Bean,Kafue,Paycode,13,17,15,14,159,0,159,0,139,1685,0,2085,0,20/05/2025
11553,3631,Soy Bean,Kafue,Paycode,13,17,15,14,380,380,0,0,380,6460,6460,0,0,10/06/2025
5019,3640,Soy Bean,Kafue,Paycode,13,17,15,14,1200,650,550,0,1000,13700,7650,8250,0,20/05/2025
5017,3650,Soy Bean,Kafue,Paycode,13,17,15,14,471,471,0,0,321,5457,5457,0,0,20/05/2025
10342,3654,Soy Bean,Kafue,Paycode,13,17,15,14,224,224,0,0,124,2108,2108,0,0,06/06/2025
17522,3659,Soy Bean,Emerald,Paycode,12,15,14,12,2672,2672,0,0,2672,40080,40080,0,0,26/06/2025
17521,3659,Soy Bean,Kafue,Paycode,12,15,14,12,700,700,0,0,700,10500,10500,0,0,26/06/2025
12861,3659,Soy Bean,Kafue,Paycode,12,15,14,12,459,300,159,0,309,2352,2250,2226,0,13/06/2025
17251,3683,Soy Bean,Kafue,Paycode,12,15,14,12,921,921,0,0,611,6765,9165,0,0,26/06/2025
17281,3691,Soy Bean,Kafue,Paycode,12,15,14,12,1366,1366,0,0,1146,16190,17190,0,0,26/06/2025
7790,3705,Soy Bean,Kafue,Paycode,13,17,15,14,350,350,0,0,250,3600,4250,0,0,29/05/2025
4676,3785,Soy Bean,Emerald,Paycode,13,17,15,14,958,558,350,50,758,25856,6086,5250,700,19/05/2025
4675,3785,Soy Bean,Kafue,Paycode,13,17,15,14,1238,1200,38,0,988,15470,16150,570,0,19/05/2025
11452,3797,Soy Bean,Emerald,Paycode,13,17,15,14,320,320,0,0,320,5440,5440,0,0,09/06/2025
8531,3797,Soy Bean,Emerald,Paycode,13,17,15,14,1122,1072,50,0,922,21624,14824,750,0,31/05/2025
8530,3797,Soy Bean,Kafue,Paycode,13,17,15,14,700,700,0,0,550,6700,9350,0,0,31/05/2025
26224,3813,Soy Bean,Kafue,Airtel Money,9,9,9,9,0,0,0,0,0,0,0,0,0,02/12/2025
10395,3813,Soy Bean,Emerald,Airtel Money,12,12,12,12,100,50,0,50,0,0,0,0,0,06/06/2025
23071,3918,Sunflower,Sunflower,Paycode,6,6,6,6,107,107,0,0,107,642,642,0,0,14/07/2025
23063,3923,Soy Bean,Kafue,Paycode,12,15,14,12,225,0,0,225,225,2200,0,0,2700,14/07/2025
17144,3923,Soy Bean,Kafue,Paycode,12,15,14,12,311,48,0,263,61,632,0,0,732,21/06/2025
5967,3932,Soy Bean,Kafue,Paycode,13,17,15,14,615,0,494,121,315,3704,0,2910,1694,23/05/2025
13822,3988,Soy Bean,Kafue,Paycode,12,15,14,12,869,769,100,0,769,9345,10035,1400,0,16/06/2025
4423,4051,Soy Bean,Kafue,Paycode,13,17,15,14,950,700,250,0,625,9225,6375,3750,0,17/05/2025
17202,4055,Soy Bean,Kafue,Paycode,12,15,14,12,1100,1100,0,0,1000,14500,15000,0,0,26/06/2025
15238,4072,Soy Bean,Kafue,Paycode,12,15,14,12,819,819,0,0,819,12285,12285,0,0,20/06/2025
3204,4177,Soy Bean,Kafue,Airtel Money,12,12,12,12,881,881,0,0,881,11012,11012,0,0,13/05/2025
21158,4285,Navy Bean,Lwangeni,Paycode,23,27,25,23, 200.00 ,200,0,0,150," 1,800.00 ",4050,0,0,07/07/2025
5778,4293,Soy Bean,Kafue,Paycode,13,17,15,14,425,425,0,0,325,5025,5525,0,0,22/05/2025
19223,4341,Soy Bean,Kafue,Paycode,12,15,14,12,321,250,71,0,221,3144,2250,994,0,01/07/2025
6635,4367,Soy Bean,Kafue,Paycode,13,17,15,14,890,890,0,0,790,12930,13430,0,0,26/05/2025
6680,4375,Soy Bean,Kafue,Paycode,13,17,15,14,650,650,0,0,450,6750,7650,0,0,26/05/2025
9168,4383,Soy Bean,Kafue,Paycode,13,17,15,14,1150,1150,0,0,1050,17200,17850,0,0,03/06/2025
