id,farmer_id,crop_planted,Qty_kgs_planted,planting_date,spacing_cm_btwn_rows,more_than_one_seed_in_hole,rcvd_crop_training
102687,10010,Beans,40,01/02/2025,10,No,Yes
79828,10040,Groundnuts,20,18/12/2024,30,No,Yes
84552,10042,Soybean,2,14/12/2024,50,Yes,Yes
87782,10055,Groundnuts,20,20/12/2024,45,No,Yes
102193,10061,Beans,20,06/02/2025,15,No,Yes
101714,10062,Beans,40,08/02/2025,15,No,Yes
111926,10065,Beans,20,04/02/2025,10,No,Yes
108377,10087,Beans,20,02/02/2025,65,No,Yes
108376,10089,Beans,40,03/02/2025,75,No,Yes
108381,10090,Beans,80,03/02/2025,75,No,Yes
103296,10093,Beans,40,04/02/2025,70,No,Yes
102918,10105,Beans,20,11/02/2025,70,No,Yes
103476,10107,Beans,20,08/02/2025,65,No,Yes
102433,10117,Beans,20,05/02/2025,80,No,No
102435,10159,Beans,20,10/02/2025,80,No,No
103306,10167,Beans,40,06/02/2025,70,No,Yes
108182,10176,Beans,20,04/02/2025,70,No,Yes
101908,10208,Beans,40,04/02/2025,10,No,Yes
103455,10240,Beans,20,08/03/2025,60,No,Yes
103351,10242,Beans,60,08/02/2025,80,No,Yes
96624,10246,Soybean,25,28/12/2024,5,Yes,Yes
103453,10252,Beans,60,07/03/2025,60,No,Yes
103461,10257,Beans,40,06/03/2025,60,No,Yes
79179,10266,Groundnuts,20,28/11/2024,35,No,Yes
90064,10282,Groundnuts,40,15/12/2024,50,Yes,Yes
104291,10320,Beans,40,07/02/2025,50,No,Yes
93723,10326,Soybean,25,10/01/2025,50,Yes,Yes
102535,10332,Beans,60,03/02/2025,60,No,Yes
103807,10333,Beans,140,01/02/2025,45,No,Yes
103923,10334,Beans,20,30/01/2025,45,No,Yes
103925,10338,Beans,40,05/02/2025,60,No,Yes
103357,10341,Beans,40,31/01/2025,50,No,Yes
103926,10345,Beans,60,05/02/2025,50,No,Yes
102163,10350,Beans,80,01/02/2025,45,No,Yes
104152,10352,Beans,60,06/02/2025,60,No,Yes
103918,10357,Beans,40,05/02/2025,45,No,Yes
103711,10358,Beans,40,06/02/2025,60,No,Yes
103809,10362,Beans,20,05/02/2025,60,No,Yes
84559,10363,Soybean,2,13/12/2024,50,Yes,Yes
81673,10371,Soybean,25,25/12/2024,55,Yes,Yes
97449,10373,Soybean,25,15/12/2024,50,Yes,Yes
103695,10378,Beans,20,06/02/2025,50,No,Yes
105951,10379,Beans,40,29/01/2025,50,No,Yes
103419,10380,Beans,60,29/01/2025,50,No,Yes
105942,10391,Beans,20,30/01/2025,50,No,Yes
103754,10394,Beans,20,05/02/2025,60,No,Yes
104289,10397,Beans,40,08/02/2025,50,No,Yes
104290,10400,Beans,40,06/02/2025,45,No,Yes
103420,10403,Beans,40,28/01/2025,50,No,Yes
90031,10442,Groundnuts,20,17/12/2024,30,No,Yes
103414,10444,Beans,40,03/02/2025,50,No,Yes
103429,10445,Beans,20,28/01/2025,50,No,Yes
102110,10449,Beans,40,01/02/2025,10,No,Yes
80809,10454,Groundnuts,20,28/12/2024,30,No,Yes
93860,10457,Soybean,25,01/01/2025,65,Yes,Yes
93536,10494,Soybean,25,02/01/2025,60,Yes,Yes
94038,10497,Soybean,25,02/01/2025,60,Yes,Yes
96470,10527,Soybean,25,08/01/2025,60,Yes,Yes
92409,10529,Soybean,75,13/12/2024,70,Yes,Yes
81454,10544,Soybean,25,10/12/2024,50,Yes,Yes
94736,10584,Soybean,25,17/12/2024,80,Yes,Yes
99375,10599,Soybean,25,15/11/2024,90,Yes,Yes
93624,10600,Soybean,50,10/12/2024,16,Yes,Yes
93613,10601,Soybean,25,23/12/2024,15,Yes,Yes
105337,10603,Beans,20,06/02/2025,14,No,Yes
109565,10607,Beans,40,07/02/2025,15,No,Yes
104838,10612,Beans,40,14/02/2025,15,No,Yes
100585,10649,Groundnuts,20,10/01/2025,20,No,Yes
79508,10662,Soybean,75,01/12/2024,50,No,Yes
100132,10674,Groundnuts,20,08/01/2025,50,No,Yes
93415,10679,Soybean,25,09/12/2024,5,Yes,Yes
91983,10687,Soybean,50,08/12/2024,60,Yes,Yes
97150,10692,Soybean,75,01/01/2025,60,Yes,Yes
102297,10703,Beans,20,12/02/2025,6,Yes,Yes
110119,10706,Beans,20,11/02/2025,12,Yes,Yes
104663,10707,Beans,40,14/03/2025,10,Yes,Yes
106462,10717,Beans,20,02/02/2025,14,Yes,Yes
102301,10727,Beans,20,12/02/2025,10,Yes,Yes
102296,10730,Beans,20,10/02/2025,10,Yes,Yes
105573,10736,Beans,20,16/03/2025,10,Yes,Yes
78682,10801,Groundnuts,20,24/11/2024,45,No,Yes
81989,10802,Groundnuts,20,19/12/2024,35,No,Yes
79999,10803,Groundnuts,20,28/11/2024,35,No,Yes
102372,10808,Beans,20,08/02/2025,10,No,Yes
102390,10819,Beans,20,04/02/2025,10,No,Yes
104146,10823,Beans,20,01/02/2025,10,No,Yes
102374,10826,Beans,20,05/02/2025,10,No,Yes
77797,10860,Groundnuts,40,28/11/2024,45,No,Yes
110118,10900,Beans,40,10/02/2025,12,Yes,Yes
100237,10976,Groundnuts,20,12/12/2024,50,No,Yes
100241,10978,Groundnuts,20,09/01/2025,50,No,Yes
104468,11017,Beans,20,12/02/2025,30,No,Yes
104904,11029,Beans,40,13/02/2025,30,No,Yes
103848,11038,Beans,40,10/02/2025,50,Yes,Yes
94198,11042,Groundnuts,20,09/01/2025,65,No,Yes
81848,11045,Groundnuts,20,17/12/2024,68,No,Yes
94200,11049,Groundnuts,20,07/01/2025,60,No,Yes
104507,11065,Beans,20,16/02/2025,30,No,Yes
100402,11066,Groundnuts,20,15/01/2025,50,No,Yes
104948,11068,Beans,20,11/02/2025,50,Yes,Yes
93422,11081,Soybean,50,15/12/2024,50,Yes,Yes
85706,11090,Soybean,25,04/01/2025,45,Yes,Yes
103214,11096,Beans,20,02/02/2025,50,Yes,Yes
104056,11097,Beans,20,08/02/2025,50,Yes,Yes
105759,11100,Beans,80,11/02/2025,30,No,Yes
104051,11105,Beans,20,10/02/2025,50,Yes,Yes
104473,11114,Beans,20,15/02/2025,30,No,Yes
103405,11130,Beans,20,08/02/2025,50,Yes,Yes
101899,11140,Beans,60,01/02/2025,10,No,Yes
102159,11149,Beans,20,03/02/2025,60,No,Yes
102161,11188,Beans,20,03/02/2025,60,No,Yes
102162,11189,Beans,20,03/02/2025,60,No,Yes
101972,11197,Beans,20,04/02/2025,45,Yes,Yes
104705,11200,Beans,20,01/02/2025,50,No,Yes
102967,11202,Beans,20,05/02/2025,50,No,Yes
104222,11207,Beans,20,02/02/2025,45,No,Yes
102226,11215,Beans,40,01/02/2025,10,No,Yes
102976,11223,Beans,20,05/02/2025,45,No,Yes
102589,11231,Beans,40,05/02/2025,40,No,Yes
90834,11232,Soybean,25,08/01/2025,60,Yes,Yes
95120,11236,Groundnuts,20,17/12/2024,50,No,Yes
95184,11302,Groundnuts,20,14/11/2024,45,No,Yes
95186,11303,Groundnuts,20,13/11/2024,45,No,Yes
102679,11351,Beans,20,01/02/2025,10,No,Yes
104577,11369,Beans,20,06/02/2025,60,No,Yes
101971,11370,Beans,60,04/02/2025,55,No,Yes
102272,11375,Beans,40,01/02/2025,10,No,Yes
112198,11376,Beans,20,07/02/2025,10,No,Yes
107452,11385,Beans,20,01/02/2025,10,Yes,Yes
104700,11387,Beans,20,01/02/2025,65,No,Yes
102972,11397,Beans,20,03/02/2025,40,No,Yes
104703,11398,Beans,20,11/02/2025,50,No,Yes
96748,11428,Groundnuts,20,16/11/2024,50,No,Yes
101742,11435,Beans,80,10/02/2025,10,No,Yes
103382,11470,Beans,20,02/02/2025,75,No,Yes
103360,11478,Beans,20,01/02/2025,70,No,Yes
103380,11480,Beans,40,04/02/2025,69,No,Yes
103396,11482,Beans,20,02/02/2025,70,No,Yes
108406,11486,Beans,20,06/02/2025,30,No,Yes
108076,11487,Beans,20,01/02/2025,45,No,Yes
115562,11507,Beans,40,05/02/2025,50,No,Yes
115506,11509,Beans,60,28/01/2025,50,No,Yes
115071,11513,Beans,20,05/02/2025,50,No,Yes
109219,11515,Beans,40,27/01/2025,50,No,Yes
115089,11522,Beans,20,01/02/2025,50,No,Yes
